architecture,error_metric,task,num_features,training_samples,n_layers,activation_function,learning_rate,batch_size,metric,dimension,dataset,y
mnr,0,segmentation,3,3339,2,tanh,0.001,16,0.56402266,2,brain-mri-segmentation,0.8252167504193879
mnr,0,segmentation,3,3339,3,tanh,0.01,16,0.020288924,2,brain-mri-segmentation,0.0296845519163821
mnr,0,segmentation,3,3339,1,sigmoid,0.0001,16,0.49782908,2,brain-mri-segmentation,0.7283694872505184
mnr,0,segmentation,3,3339,1,tanh,0.001,64,0.6357553000000001,2,brain-mri-segmentation,0.9301681651015639
mnr,0,segmentation,3,3339,2,elu,0.001,32,0.6574762,2,brain-mri-segmentation,0.9619478289083058
mnr,0,segmentation,3,3339,1,tanh,0.01,16,0.01085303,2,brain-mri-segmentation,0.015878975764562597
mnr,0,segmentation,3,3339,2,sigmoid,0.0001,32,0.50724876,2,brain-mri-segmentation,0.7421513408370224
mnr,0,segmentation,3,3339,3,sigmoid,1e-05,8,0.46034107,2,brain-mri-segmentation,0.6735210990813454
mnr,0,segmentation,3,3339,3,tanh,0.01,8,0.051101692000000004,2,brain-mri-segmentation,0.07476645036419713
mnr,0,segmentation,3,3339,3,relu,0.001,64,0.68348426,2,brain-mri-segmentation,1.0
mnr,0,segmentation,3,3339,3,elu,0.0001,64,0.6091857,2,brain-mri-segmentation,0.8912944096181529
mnr,0,segmentation,3,3339,2,sigmoid,1e-05,32,0.46472096,2,brain-mri-segmentation,0.6799292788395742
mnr,0,segmentation,3,3339,1,elu,1e-05,64,0.5370684,2,brain-mri-segmentation,0.7857802021658846
mnr,0,segmentation,3,3339,2,tanh,0.001,64,0.65507233,2,brain-mri-segmentation,0.9584307471835563
mnr,0,segmentation,3,3339,3,relu,0.01,32,0.0052360855,2,brain-mri-segmentation,0.007660872102599701
mnr,0,segmentation,3,3339,3,tanh,1e-05,16,0.51731354,2,brain-mri-segmentation,0.7568770347396149
mnr,0,segmentation,3,3339,2,elu,0.0001,16,0.5396681999999999,2,brain-mri-segmentation,0.7895839474050214
mnr,0,segmentation,3,3339,2,sigmoid,0.01,8,0.0511017,2,brain-mri-segmentation,0.074766462068929
mnr,0,segmentation,3,3339,1,relu,0.001,64,0.64944667,2,brain-mri-segmentation,0.9501998919477678
mnr,0,segmentation,3,3339,3,relu,0.001,8,0.0511017,2,brain-mri-segmentation,0.074766462068929
mnr,0,segmentation,3,3339,1,elu,0.01,16,0.5945489,2,brain-mri-segmentation,0.869879432190582
mnr,0,segmentation,3,3339,3,tanh,0.0001,64,0.64935076,2,brain-mri-segmentation,0.9500595668435731
mnr,0,segmentation,3,3339,1,relu,1e-05,16,0.5230745,2,brain-mri-segmentation,0.7653058462531384
mnr,0,segmentation,3,3339,3,elu,1e-05,16,0.5334584,2,brain-mri-segmentation,0.7804984419099864
unet,0,segmentation,3,3339,3,relu,0.0001,16,0.8679886,2,brain-mri-segmentation,0.9691889880819453
unet,0,segmentation,3,3339,2,tanh,0.001,16,0.6907471,2,brain-mri-segmentation,0.7712825754503437
unet,0,segmentation,3,3339,3,relu,0.01,16,0.75149804,2,brain-mri-segmentation,0.8391165793342968
unet,0,segmentation,3,3339,1,sigmoid,0.0001,16,0.36448854,2,brain-mri-segmentation,0.4069849295832522
unet,0,segmentation,3,3339,1,relu,0.001,16,0.008327781999999999,2,brain-mri-segmentation,0.009298733427543908
unet,0,segmentation,3,3339,1,sigmoid,0.001,32,0.33360413,2,brain-mri-segmentation,0.3724996493901622
unet,0,segmentation,3,3339,2,sigmoid,1e-05,32,0.18340899,2,brain-mri-segmentation,0.20479298163965703
unet,0,segmentation,3,3339,1,tanh,0.0001,8,0.0083278,2,brain-mri-segmentation,0.00929875352619703
unet,0,segmentation,3,3339,2,elu,0.0001,32,0.8955824,2,brain-mri-segmentation,1.0
unet,0,segmentation,3,3339,2,relu,0.01,64,0.86763334,2,brain-mri-segmentation,0.9687923076648224
unet,0,segmentation,3,3339,1,relu,0.0001,32,0.008327408,2,brain-mri-segmentation,0.009298315822195702
unet,0,segmentation,3,3339,1,elu,0.0001,8,0.008327781999999999,2,brain-mri-segmentation,0.009298733427543908
unet,0,segmentation,3,3339,3,tanh,1e-05,8,0.88589305,2,brain-mri-segmentation,0.98918095085388
unet,0,segmentation,3,3339,2,relu,0.001,64,0.8558281999999999,2,brain-mri-segmentation,0.9556107846692833
unet,0,segmentation,3,3339,1,relu,1e-05,32,0.7548279999999999,2,brain-mri-segmentation,0.8428347854982411
unet,0,segmentation,3,3339,2,tanh,0.0001,32,0.84981185,2,brain-mri-segmentation,0.9488929773519444
unet,0,segmentation,3,3339,2,sigmoid,1e-05,16,0.09046213,2,brain-mri-segmentation,0.10100927619837102
unet,0,segmentation,3,3339,3,relu,0.001,8,0.79158705,2,brain-mri-segmentation,0.8838796407790059
unet,0,segmentation,3,3339,2,sigmoid,0.01,64,0.34462494,2,brain-mri-segmentation,0.38480539590773555
unet,0,segmentation,3,3339,3,sigmoid,1e-05,32,0.05928142,2,brain-mri-segmentation,0.06619314984305186
unet,0,segmentation,3,3339,2,tanh,0.001,32,0.7212811,2,brain-mri-segmentation,0.8053765906967355
unet,0,segmentation,3,3339,1,sigmoid,0.001,16,0.3386853,2,brain-mri-segmentation,0.37817324235045263
unet,0,segmentation,3,3339,1,tanh,1e-05,64,0.59152794,2,brain-mri-segmentation,0.6604952710102386
unet,0,segmentation,3,3339,3,elu,0.001,8,0.008327733,2,brain-mri-segmentation,0.009298678714543743
unet,0,segmentation,3,3339,2,relu,0.001,8,0.008327811999999999,2,brain-mri-segmentation,0.009298766925299112
unet,0,segmentation,3,3339,3,elu,0.01,64,0.798962,2,brain-mri-segmentation,0.8921144497703394
unet,0,segmentation,3,3339,2,elu,0.0001,8,0.8659752000000001,2,brain-mri-segmentation,0.9669408420710367
unet,0,segmentation,3,3339,2,tanh,1e-05,8,0.88544005,2,brain-mri-segmentation,0.9886751347503033
unet,0,segmentation,3,3339,2,sigmoid,0.0001,64,0.80776054,2,brain-mri-segmentation,0.9019388277393571
unet,0,segmentation,3,3339,3,sigmoid,0.001,64,0.6187148,2,brain-mri-segmentation,0.6908518970448727
irnet,0,segmentation,3,3339,3,tanh,0.01,8,0.0069403364,2,brain-mri-segmentation,0.00787181272254657
irnet,0,segmentation,3,3339,3,relu,0.001,8,0.0069403364,2,brain-mri-segmentation,0.00787181272254657
irnet,0,segmentation,3,3339,3,tanh,0.001,4,0.0069403364,2,brain-mri-segmentation,0.00787181272254657
irnet,0,segmentation,3,3339,1,elu,0.01,4,0.0069403364,2,brain-mri-segmentation,0.00787181272254657
irnet,0,segmentation,3,3339,2,tanh,0.001,8,0.0069403364,2,brain-mri-segmentation,0.00787181272254657
irnet,0,segmentation,3,3339,2,elu,1e-05,16,0.62378144,2,brain-mri-segmentation,0.7075003850649688
irnet,0,segmentation,3,3339,1,relu,0.01,4,0.0069403364,2,brain-mri-segmentation,0.00787181272254657
irnet,0,segmentation,3,3339,1,sigmoid,0.0001,4,0.5945544,2,brain-mri-segmentation,0.6743507260204336
irnet,0,segmentation,3,3339,3,relu,0.0001,32,0.8166711999999999,2,brain-mri-segmentation,0.9262782625777871
irnet,0,segmentation,3,3339,2,sigmoid,1e-05,16,0.6228071999999999,2,brain-mri-segmentation,0.7063953903810203
irnet,0,segmentation,3,3339,3,relu,1e-05,4,0.59418094,2,brain-mri-segmentation,0.6739271432126374
irnet,0,segmentation,3,3339,1,tanh,1e-05,4,0.52226615,2,brain-mri-segmentation,0.5923605265193507
irnet,0,segmentation,3,3339,1,elu,0.001,8,0.0069403364,2,brain-mri-segmentation,0.00787181272254657
irnet,0,segmentation,3,3339,3,elu,0.001,8,0.0069403364,2,brain-mri-segmentation,0.00787181272254657
irnet,0,segmentation,3,3339,1,elu,1e-05,32,0.5961145,2,brain-mri-segmentation,0.6761202101377228
irnet,0,segmentation,3,3339,3,sigmoid,0.001,4,0.0069403364,2,brain-mri-segmentation,0.00787181272254657
irnet,0,segmentation,3,3339,2,tanh,0.0001,8,0.7771513000000001,2,brain-mri-segmentation,0.8814543183646842
irnet,0,segmentation,3,3339,1,sigmoid,0.001,4,0.0069403364,2,brain-mri-segmentation,0.00787181272254657
irnet,0,segmentation,3,3339,2,relu,0.01,32,0.7238599,2,brain-mri-segmentation,0.8210105738046484
irnet,0,segmentation,3,3339,2,elu,0.0001,8,0.0069403388,2,brain-mri-segmentation,0.007871815444655332
irnet,0,segmentation,3,3339,2,sigmoid,1e-05,8,0.61629564,2,brain-mri-segmentation,0.6990099009900991
irnet,0,segmentation,3,3339,1,relu,0.001,16,0.8220455,2,brain-mri-segmentation,0.9323738580470186
irnet,0,segmentation,3,3339,3,tanh,0.01,32,0.84584576,2,brain-mri-segmentation,0.9593683981773667
irnet,0,segmentation,3,3339,2,relu,1e-05,32,0.6826717,2,brain-mri-segmentation,0.7742944237375143
irnet,0,segmentation,3,3339,1,sigmoid,0.0001,16,0.701404,2,brain-mri-segmentation,0.7955408228980161
irnet,0,segmentation,3,3339,3,relu,0.0001,16,0.8816693999999999,2,brain-mri-segmentation,1.0
irnet,0,segmentation,3,3339,1,tanh,0.001,8,0.66987467,2,brain-mri-segmentation,0.7597798789432865
irnet,0,segmentation,3,3339,1,sigmoid,0.0001,8,0.6147938000000001,2,brain-mri-segmentation,0.6973064960630369
irnet,0,segmentation,3,3339,2,relu,1e-05,16,0.68554926,2,brain-mri-segmentation,0.7775581867761319
irnet,0,segmentation,3,3339,3,elu,0.01,4,0.0069403364,2,brain-mri-segmentation,0.00787181272254657
CNN,0,segmentation,30,480,4,elu,0.0001,8,0.6339844,3,indian-pines,0.8651386268656717
CNN,0,segmentation,30,480,2,relu,0.01,32,0.7324219,3,indian-pines,0.9994669850746268
CNN,0,segmentation,30,480,1,tanh,1e-05,128,0.39570314,3,indian-pines,0.5399786985074627
CNN,0,segmentation,30,480,2,sigmoid,0.0001,128,0.5683594,3,indian-pines,0.7755863880597015
CNN,0,segmentation,30,480,5,tanh,1e-05,8,0.46445313,3,indian-pines,0.6337953159914712
CNN,0,segmentation,30,480,2,tanh,0.0001,8,0.6585938,3,indian-pines,0.8987207505330491
CNN,0,segmentation,30,480,4,elu,0.0001,16,0.65117186,3,indian-pines,0.888592730063966
CNN,0,segmentation,30,480,1,relu,0.01,16,0.001953125,3,indian-pines,0.0026652452025586353
CNN,0,segmentation,30,480,3,sigmoid,1e-05,32,0.3515625,3,indian-pines,0.47974413646055436
CNN,0,segmentation,30,480,5,sigmoid,0.001,128,0.5882813,3,indian-pines,0.8027719232409382
CNN,0,segmentation,30,480,1,elu,0.001,128,0.6917969,3,indian-pines,0.9440298848614074
CNN,0,segmentation,30,480,2,relu,0.0001,32,0.71367186,3,indian-pines,0.9738805765458423
CNN,0,segmentation,30,480,3,elu,0.0001,8,0.6785156,3,indian-pines,0.9259061492537314
CNN,0,segmentation,30,480,2,tanh,1e-05,32,0.509375,3,indian-pines,0.6950959488272922
