architecture,error_metric,task,num_features,training_samples,n_layers,activation_function,learning_rate,batch_size,metric,dimension,dataset,y
CNN,0,Segmentation,30,7299,3,sigmoid,1e-05,8,0.8450985999999999,3,enrique-reef-crop1,0.9792528072018246
CNN,0,Segmentation,30,7299,1,sigmoid,1e-05,32,0.82465065,3,enrique-reef-crop1,0.9555588708504659
CNN,0,Segmentation,30,7299,4,elu,1e-05,128,0.84620327,3,enrique-reef-crop1,0.9805328367729678
CNN,0,Segmentation,30,7299,5,relu,0.01,16,0.8504931999999998,3,enrique-reef-crop1,0.9855037667865771
CNN,0,Segmentation,30,7299,1,relu,1e-05,16,0.8306617000000001,3,enrique-reef-crop1,0.96252413808287
CNN,0,Segmentation,30,7299,3,tanh,0.0001,64,0.845073,3,enrique-reef-crop1,0.9792231433592099
CNN,0,Segmentation,30,7299,4,tanh,0.0001,128,0.83664715,3,enrique-reef-crop1,0.9694597414726591
CNN,0,Segmentation,30,7299,5,elu,0.01,16,0.8583539000000001,3,enrique-reef-crop1,0.9946123045850915
CNN,0,Segmentation,30,7299,1,elu,1e-05,32,0.8288121999999999,3,enrique-reef-crop1,0.9603810413283375
CNN,0,Segmentation,30,7299,5,elu,1e-05,8,0.8471537,3,enrique-reef-crop1,0.981634141692357
CNN,0,Segmentation,30,7299,1,sigmoid,0.0001,64,0.83954996,3,enrique-reef-crop1,0.9728233547140887
CNN,0,Segmentation,30,7299,4,sigmoid,0.0001,16,0.8586878000000001,3,enrique-reef-crop1,0.994999209157321
